ANZSRC 2020 Code,ANZSRC 2020 Name,ANZSRC 2008 Code,Partial Match,ANZSRC 2008 Name
440608,"""Recreation, leisure and tourism geography """,160402,,"""Recreation, Leisure and Tourism Geography"""
440609,"""Rural and regional geography""",160404,p ,"""Urban and Regional Studies (excl. Planning)"""
440610,"""Social geography""",160403,p ,"""Social and Cultural Geography"""
440611,"""Transport geography""",160404,p ,"""Urban and Regional Studies (excl. Planning)"""
440611,"""Transport geography""",160499,p ,"""Human Geography not elsewhere classified"""
440612,"""Urban geography""",160404,p ,"""Urban and Regional Studies (excl. Planning)"""
440699,"""Human geography not elsewhere classified """,160499,p ,"""Human Geography not elsewhere classified"""
440701,"""Communications and media policy""",160503,,"""Communications and Media Policy"""
440702,"""Crime policy""",160504,,"""Crime Policy"""
440703,"""Economic development policy""",140202,p ,"""Economic Development and Growth"""
440703,"""Economic development policy""",160505,,"""Economic Development Policy"""
440704,"""Environment policy""",160507,,"""Environment Policy"""
440705,"""Gender, policy and administration""",160512,p ,"""Social Policy"""
440705,"""Gender, policy and administration""",160599,p ,"""Policy and Administration not elsewhere classified"""
440706,"""Health policy""",160508,,"""Health Policy"""
440707,"""Housing policy""",160514,p ,"""Urban Policy"""
440708,"""Public administration""",160509,,"""Public Administration"""
440709,"""Public policy""",160510,,"""Public Policy"""
440710,"""Research, science and technology policy""",160511,,"""Research, Science and Technology Policy"""
440711,"""Risk policy""",160599,p ,"""Policy and Administration not elsewhere classified"""
440712,"""Social policy""",160512,p ,"""Social Policy"""
440713,"""Tourism policy""",160513,,"""Tourism Policy"""
440714,"""Urban policy""",160514,p ,"""Urban Policy"""
440799,"""Policy and administration not elsewhere classified""",160599,p ,"""Policy and Administration not elsewhere classified"""
440801,"""Australian government and politics""",160601,,"""Australian Government and Politics"""
440802,"""Citizenship""",160602,,"""Citizenship"""
440803,"""Comparative government and politics""",160603,,"""Comparative Government and Politics"""
440804,"""Defence studies""",160604,p ,"""Defence Studies"""
440805,"""Environmental politics""",160605,,"""Environmental Politics"""
440806,"""Gender and politics""",160609,p ,"""Political Theory and Political Philosophy"""
440806,"""Gender and politics""",160699,p ,"""Political Science not elsewhere classified"""
440807,"""Government and politics of Asia and the Pacific""",160606,,"""Government and Politics of Asia and The Pacific"""
440808,"""International relations""",160607,,"""International Relations"""
440809,"""New Zealand government and politics""",160608,,"""New Zealand Government and Politics"""
440810,"""Peace studies""",160604,p ,"""Defence Studies"""
440810,"""Peace studies""",160699,p ,"""Political Science not elsewhere classified"""
440811,"""Political theory and political philosophy""",160609,p ,"""Political Theory and Political Philosophy"""
440899,"""Political science not elsewhere classified""",160699,p ,"""Political Science not elsewhere classified"""
440901,"""Clinical social work practice""",160701,,"""Clinical Social Work Practice"""
440902,"""Counselling, wellbeing and community services""",160702,p,"""Counselling, Welfare and Community Services"""
440903,"""Social program evaluation""",160703,,"""Social Program Evaluation"""
440999,"""Social work not elsewhere classified """,160799,,"""Social Work not elsewhere classified"""
441001,"""Applied sociology, program evaluation and social impact assessment""",160801,,"""Applied Sociology, Program Evaluation and Social Impact Assessment"""
441002,"""Environmental sociology""",160802,,"""Environmental Sociology"""
441003,"""Rural sociology""",160804,,"""Rural Sociology"""
441004,"""Social change""",160805,,"""Social Change"""
441005,"""Social theory""",160806,,"""Social Theory"""
441006,"""Sociological methodology and research methods""",160807,p ,"""Sociological Methodology and Research Methods"""
441007,"""Sociology and social studies of science and technology """,160808,,"""Sociology and Social Studies of Science and Technology"""
441008,"""Sociology of culture""",160899,p,"""Sociology not elsewhere classified"""
441009,"""Sociology of family and relationships""",160899,p ,"""Sociology not elsewhere classified"""
441010,"""Sociology of gender""",160899,p ,"""Sociology not elsewhere classified"""
441011,"""Sociology of health""",160899,p ,"""Sociology not elsewhere classified"""
441012,"""Sociology of inequalities""",160899,p ,"""Sociology not elsewhere classified"""
441013,"""Sociology of migration, ethnicity and multiculturalism""",160803,p ,"""Race and Ethnic Relations"""
441014,"""Sociology of religion""",160899,p ,"""Sociology not elsewhere classified"""
441015,"""Sociology of the life course""",160899,p ,"""Sociology not elsewhere classified"""
441016,"""Urban sociology and community studies""",160810,,"""Urban Sociology and Community Studies"""
441099,"""Sociology not elsewhere classified """,160899,p ,"""Sociology not elsewhere classified"""
449901,"""Studies of Asian society""",169903,,"""Studies of Asian Society"""
449999,"""Other human society not elsewhere classified""",169999,p,"""Studies In Human Society not elsewhere classified"""
450101,"""Aboriginal and Torres Strait Islander archaeology""",210101,p,"""Aboriginal and Torres Strait Islander Archaeology"""
450102,"""Aboriginal and Torres Strait Islander artefacts""",210101,p,"""Aboriginal and Torres Strait Islander Archaeology"""
450103,"""Aboriginal and Torres Strait Islander cultural history""",200201,p,"""Aboriginal and Torres Strait Islander Cultural Studies"""
450103,"""Aboriginal and Torres Strait Islander cultural history""",210301,p,"""Aboriginal and Torres Strait Islander History"""
450104,"""Aboriginal and Torres Strait Islander culture""",200201,p,"""Aboriginal and Torres Strait Islander Cultural Studies"""
450105,"""Aboriginal and Torres Strait Islander curatorial, archives and museum studies""",210299,p,"""Curatorial and Related Studies not elsewhere classified"""
450106,"""Aboriginal and Torres Strait Islander ethics""",220199,p,"""Applied Ethics not elsewhere classified"""
450107,"""Aboriginal and Torres Strait Islander history""",210301,p,"""Aboriginal and Torres Strait Islander History"""
450108,"""Aboriginal and Torres Strait Islander linguistics and languages""",200319,,"""Aboriginal and Torres Strait Islander Languages"""
450109,"""Aboriginal and Torres Strait Islander literature, journalism and professional writing""",190399,p,"""Journalism and Professional Writing not elsewhere classified"""
450109,"""Aboriginal and Torres Strait Islander literature, journalism and professional writing""",200501,,"""Aboriginal and Torres Strait Islander Literature"""
450110,"""Aboriginal and Torres Strait Islander media, film, animation and photography""",199999,p,"""Studies in Creative Arts and Writing not elsewhere classified"""
450110,"""Aboriginal and Torres Strait Islander media, film, animation and photography""",200199,p,"""Communication and Media Studies not elsewhere classified"""
450111,"""Aboriginal and Torres Strait Islander music and performing arts""",190401,,"""Aboriginal and Torres Strait Islander Performing Arts"""
450112,"""Aboriginal and Torres Strait Islander philosophy""",220399,p,"""Philosophy not elsewhere classified"""
450113,"""Aboriginal and Torres Strait Islander religion and religious studies""",220499,p,"""Religion and Religious Studies not elsewhere classified"""
450114,"""Aboriginal and Torres Strait Islander repatriation""",210299,p,"""Curatorial and Related Studies not elsewhere classified"""
450115,"""Aboriginal and Torres Strait Islander research methods""",080601,p,"""Aboriginal and Torres Strait Islander Information and Knowledge Systems"""
450116,"""Aboriginal and Torres Strait Islander visual arts and crafts""",190599,p,"""Visual Arts and Crafts not elsewhere classified"""
450117,"""Aboriginal and Torres Strait Islander ways of knowing, being and doing""",200201,p,"""Aboriginal and Torres Strait Islander Cultural Studies"""
450118,"""Conservation of Aboriginal and Torres Strait Islander heritage""",210202,p,"""Heritage and Cultural Conservation"""
450199,"""Aboriginal and Torres Strait Islander culture, language and history not elsewhere classified""",199999,p,"""Studies in Creative Arts and Writing not elsewhere classified"""
450199,"""Aboriginal and Torres Strait Islander culture, language and history not elsewhere classified""",209999,p,"""Language, Communication and Culture not elsewhere classified"""
450199,"""Aboriginal and Torres Strait Islander culture, language and history not elsewhere classified""",219999,p,"""History and Archaeology not elsewhere classified"""
450199,"""Aboriginal and Torres Strait Islander culture, language and history not elsewhere classified""",229999,p,"""Philosophy and Religious Studies not elsewhere classified"""
450201,"""Aboriginal and Torres Strait Islander curriculum and pedagogy""",130301,p,"""Aboriginal and Torres Strait Islander Education"""
450202,"""Aboriginal and Torres Strait Islander early childhood education""",130301,p,"""Aboriginal and Torres Strait Islander Education"""
450203,"""Aboriginal and Torres Strait Islander educational methods""",130301,p,"""Aboriginal and Torres Strait Islander Education"""
450204,"""Aboriginal and Torres Strait Islander technical, further, continuing and community education""",130301,p,"""Aboriginal and Torres Strait Islander Education"""
450205,"""Aboriginal and Torres Strait Islander higher education""",130301,p,"""Aboriginal and Torres Strait Islander Education"""
450206,"""Aboriginal and Torres Strait Islander language education""",130301,p,"""Aboriginal and Torres Strait Islander Education"""
450207,"""Aboriginal and Torres Strait Islander men’s education""",130301,p,"""Aboriginal and Torres Strait Islander Education"""
450208,"""Aboriginal and Torres Strait Islander primary education""",130301,p,"""Aboriginal and Torres Strait Islander Education"""
450209,"""Aboriginal and Torres Strait Islander secondary education""",130301,p,"""Aboriginal and Torres Strait Islander Education"""
450210,"""Aboriginal and Torres Strait Islander student engagement and teaching""",130301,p,"""Aboriginal and Torres Strait Islander Education"""
450211,"""Aboriginal and Torres Strait Islander women’s education""",130301,p,"""Aboriginal and Torres Strait Islander Education"""
450212,"""Cultural responsiveness and working with Aboriginal and Torres Strait Islander communities education""",130301,p,"""Aboriginal and Torres Strait Islander Education"""
450213,"""Embedding Aboriginal and Torres Strait Islander knowledges, histories, culture, country, perspectives and ethics in education""",130301,p,"""Aboriginal and Torres Strait Islander Education"""
450299,"""Aboriginal and Torres Strait Islander education not elsewhere classified""",130301,p,"""Aboriginal and Torres Strait Islander Education"""
450299,"""Aboriginal and Torres Strait Islander education not elsewhere classified""",139999,p,"""Education not elsewhere classified"""
450301,"""Aboriginal and Torres Strait Islander agriculture and forestry""",079999,p,"""Agricultural and Veterinary Sciences not elsewhere classified"""
450302,"""Aboriginal and Torres Strait Islander earth sciences """,049999,p,"""Earth Sciences not elsewhere classified"""
450303,"""Aboriginal and Torres Strait Islander environmental conservation""",050201,p,"""Aboriginal and Torres Strait Islander Environmental Knowledge"""
450304,"""Aboriginal and Torres Strait Islander environmental knowledges""",050201,p,"""Aboriginal and Torres Strait Islander Environmental Knowledge"""
450305,"""Aboriginal and Torres Strait Islander fisheries and customary fisheries""",070499,p,"""Fisheries Sciences not elsewhere classified"""
450306,"""Aboriginal and Torres Strait Islander land and water management""",050201,p,"""Aboriginal and Torres Strait Islander Environmental Knowledge"""
450307,"""Aboriginal and Torres Strait Islander marine environment science""",050201,p,"""Aboriginal and Torres Strait Islander Environmental Knowledge"""
450399,"""Aboriginal and Torres Strait Islander environmental knowledges and management not elsewhere classified""",049999,p,"""Earth Sciences not elsewhere classified"""
450399,"""Aboriginal and Torres Strait Islander environmental knowledges and management not elsewhere classified""",059999,p,"""Environmental Sciences not elsewhere classified"""
450399,"""Aboriginal and Torres Strait Islander environmental knowledges and management not elsewhere classified""",079999,p,"""Agricultural and Veterinary Sciences not elsewhere classified"""
450401,"""Aboriginal and Torres Strait Islander and disability""",111701,p,"""Aboriginal and Torres Strait Islander Health"""
450402,"""Aboriginal and Torres Strait Islander biomedical and clinical sciences""",119999,p,"""Medical and Health Sciences not elsewhere classified"""
450403,"""Aboriginal and Torres Strait Islander child health and wellbeing""",111701,p,"""Aboriginal and Torres Strait Islander Health"""
450404,"""Aboriginal and Torres Strait Islander cultural determinants of health""",111701,p,"""Aboriginal and Torres Strait Islander Health"""
450405,"""Aboriginal and Torres Strait Islander diet and nutrition""",111701,p,"""Aboriginal and Torres Strait Islander Health"""
450406,"""Aboriginal and Torres Strait Islander epidemiology""",111701,p,"""Aboriginal and Torres Strait Islander Health"""
450407,"""Aboriginal and Torres Strait Islander health policy""",160501,p,"""Aboriginal and Torres Strait Islander Policy"""
450408,"""Aboriginal and Torres Strait Islander health promotion""",111701,p,"""Aboriginal and Torres Strait Islander Health"""
450409,"""Aboriginal and Torres Strait Islander health services""",111701,p,"""Aboriginal and Torres Strait Islander Health"""
450410,"""Aboriginal and Torres Strait Islander lifecourse""",170199,p,"""Psychology not elsewhere classified"""
450411,"""Aboriginal and Torres Strait Islander medicine and treatments""",110403,,"""Traditional Aboriginal and Torres Strait Islander Medicine and Treatments"""
450412,"""Aboriginal and Torres Strait Islander men’s health and wellbeing""",111701,p,"""Aboriginal and Torres Strait Islander Health"""
450413,"""Aboriginal and Torres Strait Islander midwifery and paediatrics""",111701,p,"""Aboriginal and Torres Strait Islander Health"""
450414,"""Aboriginal and Torres Strait Islander mothers and babies health and wellbeing""",111701,p,"""Aboriginal and Torres Strait Islander Health"""
450415,"""Aboriginal and Torres Strait Islander nursing""",111099,p,"""Nursing not elsewhere classified"""
450415,"""Aboriginal and Torres Strait Islander nursing""",111701,p,"""Aboriginal and Torres Strait Islander Health"""
450416,"""Aboriginal and Torres Strait Islander psychology""",111701,p,"""Aboriginal and Torres Strait Islander Health"""
450416,"""Aboriginal and Torres Strait Islander psychology""",170199,p,"""Psychology not elsewhere classified"""
450417,"""Aboriginal and Torres Strait Islander public health and wellbeing""",111701,p,"""Aboriginal and Torres Strait Islander Health"""
450418,"""Aboriginal and Torres Strait Islander remote health""",111701,p,"""Aboriginal and Torres Strait Islander Health"""
450419,"""Aboriginal and Torres Strait Islander social determinants of health""",111701,p,"""Aboriginal and Torres Strait Islander Health"""
450420,"""Aboriginal and Torres Strait Islander social, emotional, cultural and spiritual wellbeing""",111701,p,"""Aboriginal and Torres Strait Islander Health"""
450420,"""Aboriginal and Torres Strait Islander social, emotional, cultural and spiritual wellbeing""",111714,p,"""Mental Health"""
450421,"""Aboriginal and Torres Strait Islander sport and physical activity""",110699,p,"""Human Movement and Sports Science not elsewhere classified"""
450421,"""Aboriginal and Torres Strait Islander sport and physical activity""",111701,p,"""Aboriginal and Torres Strait Islander Health"""
450422,"""Aboriginal and Torres Strait Islander theory of change models for health""",111701,p,"""Aboriginal and Torres Strait Islander Health"""
450423,"""Aboriginal and Torres Strait Islander youth and family social and emotional wellbeing """,111701,p,"""Aboriginal and Torres Strait Islander Health"""
450499,"""Aboriginal and Torres Strait Islander health and wellbeing not elsewhere classified""",119999,p,"""Medical and Health Sciences not elsewhere classified"""
450499,"""Aboriginal and Torres Strait Islander health and wellbeing not elsewhere classified""",179999,p,"""Psychology and Cognitive Sciences not elsewhere classified"""
450501,"""Aboriginal and Torres Strait Islander accounting""",150199,p,"""Accounting, Auditing and Accountability not elsewhere classified"""
450502,"""Aboriginal and Torres Strait Islander anthropology""",169902,p,"""Studies of Aboriginal and Torres Strait Islander Society"""
450503,"""Aboriginal and Torres Strait Islander architecture """,120199,p,"""Architecture not elsewhere classified"""
450504,"""Aboriginal and Torres Strait Islander commerce""",159999,p,"""Commerce, Management and Tourism not elsewhere classified"""
450505,"""Aboriginal and Torres Strait Islander community and regional development""",169902,p,"""Studies of Aboriginal and Torres Strait Islander Society"""
450506,"""Aboriginal and Torres Strait Islander community governance and decision making""",169902,p,"""Studies of Aboriginal and Torres Strait Islander Society"""
450507,"""Aboriginal and Torres Strait Islander community-based research""",169902,p,"""Studies of Aboriginal and Torres Strait Islander Society"""
450508,"""Aboriginal and Torres Strait Islander criminology""",160299,p,"""Criminology not elsewhere classified"""
450509,"""Aboriginal and Torres Strait Islander customary law""",180101,p,"""Aboriginal and Torres Strait Islander Law"""
450510,"""Aboriginal and Torres Strait Islander design practice and management""",120399,p,"""Design Practice and Management not elsewhere classified"""
450511,"""Aboriginal and Torres Strait Islander economics""",149999,p,"""Economics not elsewhere classified"""
450512,"""Aboriginal and Torres Strait Islander finance""",150299,p,"""Banking, Finance and Investment not elsewhere classified"""
450513,"""Aboriginal and Torres Strait Islander human geography and demography""",169902,p,"""Studies of Aboriginal and Torres Strait Islander Society"""
450514,"""Aboriginal and Torres Strait Islander legislation""",180101,p,"""Aboriginal and Torres Strait Islander Law"""
450515,"""Aboriginal and Torres Strait Islander management""",150399,p,"""Business and Management not elsewhere classified"""
450516,"""Aboriginal and Torres Strait Islander marketing""",150599,p,"""Marketing not elsewhere classified"""
450517,"""Aboriginal and Torres Strait Islander not-for-profit social enterprises""",150399,p,"""Business and Management not elsewhere classified"""
450518,"""Aboriginal and Torres Strait Islander peoples and the law""",180101,p,"""Aboriginal and Torres Strait Islander Law"""
450519,"""Aboriginal and Torres Strait Islander perspectives""",169902,p,"""Studies of Aboriginal and Torres Strait Islander Society"""
450520,"""Aboriginal and Torres Strait Islander political participation and representation""",160501,p,"""Aboriginal and Torres Strait Islander Policy"""
450521,"""Aboriginal and Torres Strait Islander politics""",169902,p,"""Studies of Aboriginal and Torres Strait Islander Society"""
450522,"""Aboriginal and Torres Strait Islander social impact and program evaluation""",160501,p,"""Aboriginal and Torres Strait Islander Policy"""
450523,"""Aboriginal and Torres Strait Islander social work and social justice""",169902,p,"""Studies of Aboriginal and Torres Strait Islander Society"""
450524,"""Aboriginal and Torres Strait Islander sociological studies""",169902,p,"""Studies of Aboriginal and Torres Strait Islander Society"""
450525,"""Aboriginal and Torres Strait Islander sociology""",169902,p,"""Studies of Aboriginal and Torres Strait Islander Society"""
450526,"""Aboriginal and Torres Strait Islander tourism""",150699,p,"""Tourism not elsewhere classified"""
450527,"""Aboriginal and Torres Strait Islander urban and regional planning""",169902,p,"""Studies of Aboriginal and Torres Strait Islander Society"""
450599,"""Aboriginal and Torres Strait Islander peoples, society and community not elsewhere classified""",169999,p,"""Studies in Human Society not elsewhere classified"""
450599,"""Aboriginal and Torres Strait Islander peoples, society and community not elsewhere classified""",189999,p,"""Law and Legal Studies not elsewhere classified"""
450601,"""Aboriginal and Torres Strait Islander astronomy and cosmology""",020199,p,"""Astronomical and Space Sciences not elsewhere classified"""
450602,"""Aboriginal and Torres Strait Islander biological sciences """,069999,p,"""Biological Sciences not elsewhere classified"""
450603,"""Aboriginal and Torres Strait Islander computing technology use and design""",089999,p,"""Information and Computing Sciences not elsewhere classified"""
450604,"""Aboriginal and Torres Strait Islander engineering""",099999,p,"""Engineering not elsewhere classified"""
450605,"""Aboriginal and Torres Strait Islander genomics """,060499,p,"""Genetics not elsewhere classified"""
450606,"""Aboriginal and Torres Strait Islander information and knowledge management systems""",080601,p,"""Aboriginal and Torres Strait Islander Information and Knowledge Systems"""
450607,"""Aboriginal and Torres Strait Islander innovation""",080701,p,"""Aboriginal and Torres Strait Islander Knowledge Management"""
450608,"""Aboriginal and Torres Strait Islander knowledge management methods""",080701,p,"""Aboriginal and Torres Strait Islander Knowledge Management"""
450609,"""Aboriginal and Torres Strait Islander mathematical, physical and chemical sciences (excl. astronomy and cosmology)""",019999,p,"""Mathematical Sciences not elsewhere classified"""
450609,"""Aboriginal and Torres Strait Islander mathematical, physical and chemical sciences (excl. astronomy and cosmology)""",029999,p,"""Physical Sciences not elsewhere classified"""
450609,"""Aboriginal and Torres Strait Islander mathematical, physical and chemical sciences (excl. astronomy and cosmology)""",039999,p,"""Chemical Sciences not elsewhere classified"""
450699,"""Aboriginal and Torres Strait Islander sciences not elsewhere classified""",069999,p,"""Biological Sciences not elsewhere classified"""
450699,"""Aboriginal and Torres Strait Islander sciences not elsewhere classified""",089999,p,"""Information and Computing Sciences not elsewhere classified"""
450699,"""Aboriginal and Torres Strait Islander sciences not elsewhere classified""",099999,p,"""Engineering not elsewhere classified"""
450701,"""Te whāomoomo i te tuku ihotanga Māori (conservation of Māori heritage)""",210202,p,"""Heritage and Cultural Conservation"""
450702,"""Te mana wahine (Female status)""",200207,p,"""Māori Cultural Studies"""
450703,"""Te mana tāne (Male status)""",200207,p,"""Māori Cultural Studies"""
450704,"""Te mātai whaipara Māori (Māori archaeology)""",210109,p,"""Māori Archaeology"""
450705,"""Ngā taonga Māori nō mua (Māori artefacts)""",210109,p,"""Māori Archaeology"""
450706,"""Te hītori ahurea Māori (Māori cultural history)""",200207,p,"""Māori Cultural Studies"""
450706,"""Te hītori ahurea Māori (Māori cultural history)""",210309,p,"""Māori History"""
450707,"""Te ahurea Māori  (Māori culture) """,200207,p,"""Māori Cultural Studies"""
450708,"""Ngā mātai kaitiaki, pūranga me ngā whare tongarewa o te Māori (Māori curatorial, archives and museum studies)""",210299,p,"""Curatorial and Related Studies not elsewhere classified"""
450709,"""Ngā matatika o te Māori (Māori ethics)""",220199,p,"""Applied Ethics not elsewhere classified"""
450710,"""Te hītori Māori (Māori history)""",210309,p,"""Māori History"""
450711,"""Te whenua, ahurea me te tuakiri o te Māori (Māori land, culture and identity)""",200207,p,"""Māori Cultural Studies"""
450712,"""Te mātai i te reo Māori me te reo Māori (Māori linguistics and languages)""",200321,,"""Te Reo Māori (Māori Language)"""
450713,"""Te mātākōrero, te kawe kōrero me te tuhituhi ngaio o te Māori (Māori literature, journalism and professional writing)""",190399,p,"""Journalism and Professional Writing not elsewhere classified"""
450713,"""Te mātākōrero, te kawe kōrero me te tuhituhi ngaio o te Māori (Māori literature, journalism and professional writing)""",200504,,"""Māori Literature"""
450714,"""Ngā arapāho, ngā kiriata, te hākoritanga me te hopu whakaahua o te Māori (Māori media, film, animation and photography)""",199999,p,"""Studies in Creative Arts and Writing not elsewhere classified"""
450714,"""Ngā arapāho, ngā kiriata, te hākoritanga me te hopu whakaahua o te Māori (Māori media, film, animation and photography)""",200199,p,"""Communication and Media Studies not elsewhere classified"""
450715,"""Te puoro me ngā mahi a te rēhia o te Māori (Māori music and performing arts)""",190405,,"""Māori Performing Arts"""
450716,"""Te rapunga whakaaro o te Māori (Māori philosophy)""",220399,p,"""Philosophy not elsewhere classified"""
450717,"""Ngā Kaupapa Māori (Māori projects)""",080613,p,"""Māori Information and Knowledge Systems"""
450718,"""Te whakapono me te mātai whakapono o te Māori (Māori religion and religious studies)""",220499,p,"""Religion and Religious Studies not elsewhere classified"""
450719,"""Te whakahoki taonga a te Māori ki te kāinga (Māori repatriation)""",210299,p,"""Curatorial and Related Studies not elsewhere classified"""
450720,"""Ngā tikanga rangahau o te Māori (Māori research methods)""",080613,p,"""Māori Information and Knowledge Systems"""
450721,"""Ngā toi ataata ngā mahi ā-rehe o te Māori (Māori visual arts and crafts)""",190599,p,"""Visual Arts and Crafts not elsewhere classified"""
450799,"""Te ahurea, reo, me te hītori o te Māori kāore anō kia whakarōpūtia i wāhi kē (Māori culture, language and history not elsewhere classified)""",199999,p,"""Studies in Creative Arts and Writing not elsewhere classified"""
450799,"""Te ahurea, reo, me te hītori o te Māori kāore anō kia whakarōpūtia i wāhi kē (Māori culture, language and history not elsewhere classified)""",209999,p,"""Language, Communication and Culture not elsewhere classified"""
450799,"""Te ahurea, reo, me te hītori o te Māori kāore anō kia whakarōpūtia i wāhi kē (Māori culture, language and history not elsewhere classified)""",219999,p,"""History and Archaeology not elsewhere classified"""
450799,"""Te ahurea, reo, me te hītori o te Māori kāore anō kia whakarōpūtia i wāhi kē (Māori culture, language and history not elsewhere classified)""",229999,p,"""Philosophy and Religious Studies not elsewhere classified"""
450801,"""Ngā kōhanga reo (Māori curriculum and pedagogy)""",130206,p,"""Kohanga Reo (Māori Language Curriculum and Pedagogy)"""
450802,"""Te Whāriki - te mātauranga kōhungahunga Māori (Māori early childhood education)""",130107,,"""Te Whariki (Māori Early Childhood Education)"""
450803,"""Ngā tikanga mātauranga o te Māori (Māori educational methods)""",130310,p,"""Māori Education (excl. Early Childhood and Primary Education)"""
450804,"""Te mātauranga kura tuatoru Māori (Māori higher education)""",130310,p,"""Māori Education (excl. Early Childhood and Primary Education)"""
450805,"""Te mātauranga reo Māori (Māori language education)""",130206,p,"""Kohanga Reo (Māori Language Curriculum and Pedagogy)"""
450806,"""Ngā kura kaupapa Māori (Māori primary education)""",130104,,"""Kura Kaupapa Māori (Māori Primary Education)"""
450807,"""Te urupare me te whai wāhi Māori ki te mātauranga (Māori responsiveness and engaged education)""",130310,p,"""Māori Education (excl. Early Childhood and Primary Education)"""
450808,"""Te mātauranga kura tuarua Māori (Māori secondary education)""",130310,p,"""Māori Education (excl. Early Childhood and Primary Education)"""
450809,"""Te whai wāhi ākonga me ngā mahi whakaako o te Māori (Māori student engagement and teaching)""",130310,p,"""Māori Education (excl. Early Childhood and Primary Education)"""
450810,"""Tō te Māori mātauranga hangarau, mātauranga atu anō, mātauranga haere tonu, me te mātauranga hapori (Māori technical, further, continuing and community education)""",130310,p,"""Māori Education (excl. Early Childhood and Primary Education)"""
450811,"""Te mātauranga Māori i roto i te mātauranga (Mātauranga Māori in education)""",130310,p,"""Māori Education (excl. Early Childhood and Primary Education)"""
450899,"""Te mātauranga Māori kāore anō kia whakarōpūtia i wāhi kē (Māori education not elsewhere classified)""",130310,p,"""Māori Education (excl. Early Childhood and Primary Education)"""
450899,"""Te mātauranga Māori kāore anō kia whakarōpūtia i wāhi kē (Māori education not elsewhere classified)""",139999,p,"""Education not elsewhere classified"""
450901,"""Te ahuwhenua me ngā mahi ngahere o te Māori (Māori agriculture and forestry)""",079999,p,"""Agricultural and Veterinary Sciences not elsewhere classified"""
450902,"""Ngā pūtaiao-ā-nuku o te Māori  (Māori earth sciences) """,049999,p,"""Earth Sciences not elsewhere classified"""
450903,"""Te whāomoomo taiao o te Māori (Māori environmental conservation)""",050208,p,"""Māori Environmental Knowledge"""
450904,"""Ngā mātauranga taiao o te Māori (Māori environmental knowledges)""",050208,p,"""Māori Environmental Knowledge"""
450905,"""Te ahumoana me te ahumoana tuku iho o te Māori (Māori fisheries and customary fisheries)""",070499,p,"""Fisheries Sciences not elsewhere classified"""
450906,"""Te whakahaere whenua me te wai o te Māori (Māori land and water management)""",050208,p,"""Māori Environmental Knowledge"""
450907,"""Te pūtaiao taiao moana o te Māori (Māori marine environment science)""",050208,p,"""Māori Environmental Knowledge"""
450999,"""Ngā mātauranga taiao o te Māori kāore anō kia whakarōpūtia i wāhi kē (Māori environmental knowledges not elsewhere classified)""",049999,p,"""Earth Sciences not elsewhere classified"""
450999,"""Ngā mātauranga taiao o te Māori kāore anō kia whakarōpūtia i wāhi kē (Māori environmental knowledges not elsewhere classified)""",059999,p,"""Environmental Sciences not elsewhere classified"""
450999,"""Ngā mātauranga taiao o te Māori kāore anō kia whakarōpūtia i wāhi kē (Māori environmental knowledges not elsewhere classified)""",079999,p,"""Agricultural and Veterinary Sciences not elsewhere classified"""
451001,"""Te whaikaha me te Māori (Māori and disability)""",111713,p,"""Māori Health"""
451002,"""Ngā pūtaiao koiora-hauora, haumanu hoki o te Māori (Māori biomedical and clinical sciences)""",119999,p,"""Medical and Health Sciences not elsewhere classified"""
451003,"""Ngā tokoingoa ahurea o te hauora o te Māori (Māori cultural determinants of health)""",111713,p,"""Māori Health"""
451004,"""Te horakai me ngā kai o te Māori (Māori diet and nutrition)""",111713,p,"""Māori Health"""
451005,"""Te mātai tahumaero o te Māori (Māori epidemiology)""",111713,p,"""Māori Health"""
451006,"""Ngā kaupapahere hauora o te Māori (Māori health policy)""",111713,p,"""Māori Health"""
451007,"""Te whakatairanga hauora o te Māori (Māori health promotion)""",111713,p,"""Māori Health"""
451008,"""Ngā wāhanga ora o te Māori (Māori life course)""",170199,p,"""Psychology not elsewhere classified"""
451009,"""Ngā rongoā me ngā whakamaimoa o te Māori (Māori medicine and treatments)""",110405,,"""Traditional Māori Medicine and Treatments"""
451010,"""Ngā kaiwhakawhānau me te mātai mate tamariki o te Māori (Māori midwifery and paediatrics)""",111713,p,"""Māori Health"""
451011,"""Te hauora me te oranga ā-whaea, ā-pēpi o te Māori (Māori mothers and babies health and wellbeing)""",111713,p,"""Māori Health"""
451012,"""Te mahi tapuhi o te Māori (Māori nursing)""",111099,p,"""Nursing not elsewhere classified"""
451012,"""Te mahi tapuhi o te Māori (Māori nursing)""",111713,p,"""Māori Health"""
451013,"""Mātauranga hinengaro kaupapa Māori (Māori psychology)""",170108,p,"""Kaupapa Māori Psychology"""
451014,"""Ngā pūnaha mātauranga hinengaro o te Māori (Māori psychology knowledge systems)""",170108,p,"""Kaupapa Māori Psychology"""
451015,"""Te hauora me te oranga tūmatanui o te Māori (Māori public health and wellbeing)""",111713,p,"""Māori Health"""
451016,"""Te hauora mamao o te Māori (Māori remote health)""",111713,p,"""Māori Health"""
451017,"""Te oranga ā-pāpori, ā-hinengaro, ā-ahurea, ā-wairua o te Māori (Māori social, cultural, emotional and spiritual wellbeing)""",111713,p,"""Māori Health"""
